,CaseNum,osmid_node,distance,street_count,highway_node,name_u,highway_u,name_v,highway_v,Mode,IncidentAddress,CrossStreets,GeocodeAddress
89,20-00812,90634098.0,7.578875992257358,3.0,,Las Palmas Avenue,residential,Las Palmas Avenue,residential,Pedestrian,"RIO LINDA BLVD 72 FT NORTH OF LAS PALMAS AVE, Sacramento, Sacramento, CA, 95815","['rio linda boulevard', 'las palmas avenue']","rio linda boulevard & las palmas avenue, Sacramento, CA 95815"
90,20-00812,90634098.0,7.578875992257358,3.0,,Rio Linda Boulevard,secondary,Rio Linda Boulevard,secondary,Pedestrian,"RIO LINDA BLVD 72 FT NORTH OF LAS PALMAS AVE, Sacramento, Sacramento, CA, 95815","['rio linda boulevard', 'las palmas avenue']","rio linda boulevard & las palmas avenue, Sacramento, CA 95815"
91,20-00812,90634098.0,7.578875992257358,3.0,,Rio Linda Boulevard,secondary,Rio Linda Boulevard,secondary,Pedestrian,"RIO LINDA BLVD 72 FT NORTH OF LAS PALMAS AVE, Sacramento, Sacramento, CA, 95815","['rio linda boulevard', 'las palmas avenue']","rio linda boulevard & las palmas avenue, Sacramento, CA 95815"
92,20-00834,90290140.0,194.72556867532347,4.0,,Fruitridge Road,secondary,Fruitridge Road,secondary,Pedestrian,"FRUITRIDGE RD, 40 FT EAST OF 49TH ST, Sacramento, Sacramento, CA, 95820","['fruitridge road', '49th street']","fruitridge road & 49th street, Sacramento, CA 95820"
93,20-00834,90290140.0,194.72556867532347,4.0,,48th Street,residential,48th Street,residential,Pedestrian,"FRUITRIDGE RD, 40 FT EAST OF 49TH ST, Sacramento, Sacramento, CA, 95820","['fruitridge road', '49th street']","fruitridge road & 49th street, Sacramento, CA 95820"
94,20-00834,90290140.0,194.72556867532347,4.0,,Fruitridge Road,secondary,Fruitridge Road,secondary,Pedestrian,"FRUITRIDGE RD, 40 FT EAST OF 49TH ST, Sacramento, Sacramento, CA, 95820","['fruitridge road', '49th street']","fruitridge road & 49th street, Sacramento, CA 95820"
95,20-00834,90290142.0,79.84595111124409,3.0,,49th Street,residential,49th Street,residential,Pedestrian,"FRUITRIDGE RD, 40 FT EAST OF 49TH ST, Sacramento, Sacramento, CA, 95820","['fruitridge road', '49th street']","fruitridge road & 49th street, Sacramento, CA 95820"
96,20-00834,90290142.0,79.84595111124409,3.0,,Fruitridge Road,secondary,Fruitridge Road,secondary,Pedestrian,"FRUITRIDGE RD, 40 FT EAST OF 49TH ST, Sacramento, Sacramento, CA, 95820","['fruitridge road', '49th street']","fruitridge road & 49th street, Sacramento, CA 95820"
97,20-00834,90290142.0,79.84595111124409,3.0,,Fruitridge Road,secondary,Fruitridge Road,secondary,Pedestrian,"FRUITRIDGE RD, 40 FT EAST OF 49TH ST, Sacramento, Sacramento, CA, 95820","['fruitridge road', '49th street']","fruitridge road & 49th street, Sacramento, CA 95820"
98,20-00918,90330606.0,27.29467696855957,4.0,,Kenworthy Way,residential,Kenworthy Way,residential,Pedestrian,"24th St 12.2 ft South of Kenworthy Way, Sacramento, Sacramento, CA, 95832","['24th street', 'kenworthy way']","24th street & kenworthy way, Sacramento, CA 95832"
99,20-00918,90330606.0,27.29467696855957,4.0,,24th Street,tertiary,24th Street,tertiary,Pedestrian,"24th St 12.2 ft South of Kenworthy Way, Sacramento, Sacramento, CA, 95832","['24th street', 'kenworthy way']","24th street & kenworthy way, Sacramento, CA 95832"
100,20-00918,90330606.0,27.29467696855957,4.0,,24th Street,tertiary,,,Pedestrian,"24th St 12.2 ft South of Kenworthy Way, Sacramento, Sacramento, CA, 95832","['24th street', 'kenworthy way']","24th street & kenworthy way, Sacramento, CA 95832"
