osmid,y,x,street_count,highway,ref,geometry
90533236,38.558347,-121.428536,3,,,POINT (-121.428536 38.558347)
90533246,38.5580585,-121.4289154,3,,,POINT (-121.4289154 38.5580585)
90533248,38.555495,-121.430555,3,,,POINT (-121.430555 38.555495)
90533385,38.625761,-121.510523,3,,,POINT (-121.510523 38.625761)
90533393,38.626147,-121.51222,3,,,POINT (-121.51222 38.626147)
90533413,38.624844,-121.514068,3,,,POINT (-121.514068 38.624844)
90533420,38.624869,-121.514348,1,turning_circle,,POINT (-121.514348 38.624869)
90533424,38.461644,-121.423974,3,,,POINT (-121.423974 38.461644)
90533427,38.462131,-121.424223,1,turning_circle,,POINT (-121.424223 38.462131)
90533439,38.621143,-121.481739,1,turning_circle,,POINT (-121.481739 38.621143)
90533445,38.5879673,-121.4809559,3,,,POINT (-121.4809559 38.5879673)
90533453,38.5896425,-121.4802191,3,,,POINT (-121.4802191 38.5896425)
90533457,38.5905214,-121.4798357,3,,,POINT (-121.4798357 38.5905214)
90533461,38.5911415,-121.4795649,3,,,POINT (-121.4795649 38.5911415)
90533465,38.5912421,-121.479525,3,,,POINT (-121.479525 38.5912421)
90533469,38.5920889,-121.4791529,3,,,POINT (-121.4791529 38.5920889)
90533597,38.551773,-121.39385,1,turning_circle,,POINT (-121.39385 38.551773)
90533598,38.551984,-121.393086,3,,,POINT (-121.393086 38.551984)
90533666,38.478672,-121.485915,3,,,POINT (-121.485915 38.478672)
90533686,38.478892,-121.483143,3,,,POINT (-121.483143 38.478892)
90533705,38.618337,-121.488336,3,,,POINT (-121.488336 38.618337)
90533728,38.619273,-121.49141,3,,,POINT (-121.49141 38.619273)
90533748,38.619669,-121.488323,4,,,POINT (-121.488323 38.619669)
90533808,38.553395,-121.378767,3,,,POINT (-121.378767 38.553395)
90533810,38.553111,-121.378773,1,turning_circle,,POINT (-121.378773 38.553111)
90533977,38.647991,-121.429142,3,,,POINT (-121.429142 38.647991)
90533979,38.649137,-121.4290941,3,,,POINT (-121.4290941 38.649137)
90533981,38.6509827,-121.4291059,3,,,POINT (-121.4291059 38.6509827)
90533983,38.6546053,-121.429102,5,,,POINT (-121.429102 38.6546053)
90534192,38.538744,-121.511548,3,,,POINT (-121.511548 38.538744)
90534489,38.4932906,-121.4902164,3,,,POINT (-121.4902164 38.4932906)
90534503,38.489894,-121.489835,4,,,POINT (-121.489835 38.489894)
90534719,38.4858024,-121.5434382,3,,,POINT (-121.5434382 38.4858024)
90534721,38.486712,-121.541727,3,,,POINT (-121.541727 38.486712)
90534915,38.632613,-121.479923,3,,,POINT (-121.479923 38.632613)
90534922,38.631692,-121.478202,3,,,POINT (-121.478202 38.631692)
90534927,38.502178,-121.4155,3,,,POINT (-121.4155 38.502178)
90534932,38.502159,-121.412018,3,,,POINT (-121.412018 38.502159)
